"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","percent_vote"
2000,"ARIZONA","AZ","APACHE",4001,"PRESIDENT","AL GORE","DEMOCRAT",13025,19456,20191203,"TOTAL",66.9459292763158
2000,"ARKANSAS","AR","CHICOT",5017,"PRESIDENT","AL GORE","DEMOCRAT",2820,4452,20191203,"TOTAL",63.3423180592992
2000,"ARKANSAS","AR","DESHA",5041,"PRESIDENT","AL GORE","DEMOCRAT",2776,4495,20191203,"TOTAL",61.7575083426029
2000,"CALIFORNIA","CA","INYO",6027,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4713,7815,20191203,"TOTAL",60.3071017274472
2000,"CALIFORNIA","CA","SISKIYOU",6093,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12198,19819,20191203,"TOTAL",61.5470003531964
2000,"COLORADO","CO","ARCHULETA",8007,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2988,4758,20191203,"TOTAL",62.7994955863808
2000,"COLORADO","CO","CHAFFEE",8015,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4300,7610,20191203,"TOTAL",56.5045992115637
2000,"COLORADO","CO","GRAND",8049,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3570,6353,20191203,"TOTAL",56.1939241303321
2000,"COLORADO","CO","MONTEZUMA",8083,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6158,9384,20191203,"TOTAL",65.6223358908781
2000,"FLORIDA","FL","BROWARD",12011,"PRESIDENT","AL GORE","DEMOCRAT",387703,575143,20191203,"TOTAL",67.4098441604957
2000,"FLORIDA","FL","COLLIER",12021,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",60450,92162,20191203,"TOTAL",65.5910245003364
2000,"FLORIDA","FL","PALM BEACH",12099,"PRESIDENT","AL GORE","DEMOCRAT",269732,433186,20191203,"TOTAL",62.2670169396056
2000,"GEORGIA","GA","ROCKDALE",13247,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",15440,24649,20191203,"TOTAL",62.6394579901822
2000,"GEORGIA","GA","TALBOT",13263,"PRESIDENT","AL GORE","DEMOCRAT",1662,2531,20191203,"TOTAL",65.6657447649151
2000,"GEORGIA","GA","TALIAFERRO",13265,"PRESIDENT","AL GORE","DEMOCRAT",556,832,20191203,"TOTAL",66.8269230769231
2000,"GEORGIA","GA","TWIGGS",13289,"PRESIDENT","AL GORE","DEMOCRAT",1977,3615,20191203,"TOTAL",54.6887966804979
2000,"IDAHO","ID","LATAH",16057,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8161,15311,20191203,"TOTAL",53.3015479067337
2000,"IDAHO","ID","LEMHI",16059,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2859,3641,20191203,"TOTAL",78.5223839604504
2000,"IDAHO","ID","NEZ PERCE",16069,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10577,16021,20191203,"TOTAL",66.0195992759503
2000,"LOUISIANA","LA","IBERVILLE",22047,"PRESIDENT","AL GORE","DEMOCRAT",8355,14503,20191203,"TOTAL",57.6087705991864
2000,"LOUISIANA","LA","ST. JAMES",22093,"PRESIDENT","AL GORE","DEMOCRAT",6523,10705,20191203,"TOTAL",60.9341429238673
2000,"MICHIGAN","MI","LEELANAU",26089,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6840,12009,20191203,"TOTAL",56.9572820384711
2000,"MISSISSIPPI","MS","RANKIN",28121,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",32983,41435,20191203,"TOTAL",79.6017859297695
2000,"MONTANA","MT","BEAVERHEAD",30001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3113,4196,20191203,"TOTAL",74.1897044804576
