"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","percent_vote"
2000,"OREGON","OR","GRANT",41023,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3078,3846,20191203,"TOTAL",80.0312012480499
2004,"IOWA","IA","SIOUX",19167,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14229,16570,20191203,"TOTAL",85.872057936029
2008,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",178768,256417,20191203,"TOTAL",69.717686424847
2008,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",245800,265853,20191203,"TOTAL",92.4571097561434
2008,"HAWAII","HI","MAUI",15009,"PRESIDENT","BARACK OBAMA","DEMOCRAT",39727,51789,20191203,"TOTAL",76.7093398211976
2008,"NEW HAMPSHIRE","NH","GRAFTON",33009,"PRESIDENT","BARACK OBAMA","DEMOCRAT",31446,49890,20191203,"TOTAL",63.0306674684305
2008,"NEW MEXICO","NM","TAOS",35055,"PRESIDENT","BARACK OBAMA","DEMOCRAT",13816,16886,20191203,"TOTAL",81.8192585573848
2008,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","BARACK OBAMA","DEMOCRAT",1257,1448,20191203,"TOTAL",86.8093922651934
2012,"IDAHO","ID","MADISON",16065,"PRESIDENT","MITT ROMNEY","REPUBLICAN",13445,14412,20191203,"TOTAL",93.2903136275326
2012,"MARYLAND","MD","PRINCE GEORGE'S",24033,"PRESIDENT","BARACK OBAMA","DEMOCRAT",347938,387744,20191203,"TOTAL",89.7339481719898
2012,"MISSISSIPPI","MS","JEFFERSON",28063,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3951,4433,20191203,"TOTAL",89.1270020302278
2012,"NEW JERSEY","NJ","ESSEX",34013,"PRESIDENT","BARACK OBAMA","DEMOCRAT",236618,303019,20191203,"TOTAL",78.0868526396034
2012,"NEW YORK","NY","BRONX",36005,"PRESIDENT","BARACK OBAMA","DEMOCRAT",334600,370894,20191203,"TOTAL",90.2144548037984
2012,"SOUTH CAROLINA","SC","ALLENDALE",45005,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3297,4163,20191203,"TOTAL",79.1976939706942
2012,"UTAH","UT","RICH",49033,"PRESIDENT","MITT ROMNEY","REPUBLICAN",915,1007,20191203,"TOTAL",90.8639523336644
2016,"ARIZONA","AZ","MOHAVE",4015,"PRESIDENT","DONALD TRUMP","REPUBLICAN",58282,79943,20191203,"TOTAL",72.9044444166469
2016,"ARKANSAS","AR","POLK",5113,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6618,8231,20191203,"TOTAL",80.4033531770137
2016,"NEBRASKA","NE","KEYA PAHA",31103,"PRESIDENT","DONALD TRUMP","REPUBLICAN",460,479,20191203,"TOTAL",96.0334029227557
2020,"ALABAMA","AL","WINSTON",1133,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",10195,11284,20210622,"TOTAL",90.3491669620702
2020,"COLORADO","CO","KIOWA",8061,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",795,903,20210622,"TOTAL",88.0398671096346
2020,"FLORIDA","FL","HOLMES",12059,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",8080,9068,20210622,"TOTAL",89.1045434494927
2020,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",7176,8486,20210622,"TOTAL",84.5628093330191
2020,"KANSAS","KS","WALLACE",20199,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",770,825,20210622,"TOTAL",93.3333333333333
2020,"KENTUCKY","KY","LESLIE",21131,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",4321,4811,20210622,"ELECTION DAY",89.8150072749948
2020,"LOUISIANA","LA","CAMERON",22023,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",3671,4039,20210622,"TOTAL",90.8888338697697
2020,"MICHIGAN","MI","MISSAUKEE",26113,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",6648,8755,20210622,"TOTAL",75.9337521416333
2020,"MINNESOTA","MN","MORRISON",27097,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",14821,19558,20210622,"TOTAL",75.7797320789447
2020,"NEVADA","NV","EUREKA",32011,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",887,1008,20210622,"TOTAL",87.9960317460317
2020,"NORTH DAKOTA","ND","SLOPE",38087,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",380,427,20210622,"TOTAL",88.9929742388759
2020,"PENNSYLVANIA","PA","FULTON",42057,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",6824,7977,20210622,"TOTAL",85.5459445906983
2020,"TEXAS","TX","ROBERTS",48393,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",529,550,20210622,"TOTAL",96.1818181818182
2020,"VERMONT","VT","CHITTENDEN",50007,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",72938,96755,20210622,"TOTAL",75.3842178698775
2020,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",4871,5509,20210622,"TOTAL",88.4189508077691
2020,"MASSACHUSETTS","MA","SUFFOLK",25025,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",270522,337240,20210622,"TOTAL",80.2164630530186
2020,"MONTANA","MT","GARFIELD",30033,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",764,813,20210622,"TOTAL",93.9729397293973
2020,"OHIO","OH","HOLMES",39075,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",10796,12947,20210622,"TOTAL",83.3861126129605
2020,"TENNESSEE","TN","SCOTT",47151,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",8004,9052,20210622,"TOTAL",88.4224480777729
2020,"WASHINGTON","WA","KING",53033,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",907310,1210507,20210622,"TOTAL",74.9528916396188
2020,"WYOMING","WY","CROOK",56011,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",3651,4143,20210622,"TOTAL",88.124547429399
